MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:17:32
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141732.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 25.6
Memory(MB) =, 4279
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22351 min:21980 range:371 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.5(CX15-16) 0.4(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X12,22098,22153,22169,22167,22134,22148,22176,22144,22131,22154,22190,22179,22304,22291,22194,22214,22220,22150,22047,22185,22076,22136,22189,22164,22090,22160,22065,22211,22157,22190,22170,22178,22109,22095,22245,22197,22178,22187,22211,22141,22168,22092,22278,22228,22220,22134,22237,22213,22198,22249,22140,
X13,22114,22148,22190,22165,22131,22134,22183,22157,22138,22173,22202,22174,22292,22296,22205,22233,22232,22159,22044,22192,22086,22143,22208,22163,22098,22172,22070,22214,22182,22209,22176,22188,22124,22119,22257,22192,22176,22206,22234,22156,22179,22109,22279,22233,22217,22149,22252,22221,22193,22250,22135,
X14,22107,22128,22173,22162,22125,22140,22175,22154,22148,22155,22180,22159,22283,22272,22189,22217,22217,22146,22047,22179,22072,22138,22186,22138,22087,22163,22065,22218,22172,22201,22171,22177,22122,22113,22252,22193,22181,22181,22219,22147,22173,22091,22267,22235,22195,22135,22244,22209,22182,22245,22117,
X15,22122,22156,22197,22195,22146,22160,22194,22177,22161,22180,22199,22163,22281,22268,22183,22217,22230,22169,22057,22198,22101,22173,22190,22160,22109,22177,22074,22217,22170,22203,22177,22186,22125,22118,22272,22210,22190,22208,22227,22157,22173,22094,22282,22253,22228,22149,22260,22234,22206,22267,22132,
X16,22143,22180,22225,22230,22191,22206,22212,22196,22161,22188,22222,22193,22312,22281,22211,22248,22246,22191,22085,22219,22138,22204,22230,22195,22131,22207,22091,22231,22213,22220,22200,22195,22144,22122,22277,22226,22227,22226,22246,22186,22213,22124,22304,22275,22232,22161,22283,22246,22229,22278,22159,
X17,22151,22181,22245,22240,22215,22210,22243,22210,22190,22194,22228,22208,22318,22288,22215,22245,22262,22207,22089,22220,22140,22207,22261,22202,22122,22209,22093,22238,22211,22227,22201,22208,22151,22131,22275,22219,22225,22229,22250,22194,22210,22121,22317,22274,22233,22177,22283,22247,22233,22288,22157,
X18,22161,22204,22253,22269,22234,22242,22272,22238,22224,22219,22239,22239,22340,22323,22234,22270,22289,22229,22119,22257,22177,22238,22266,22237,22146,22226,22113,22261,22232,22256,22247,22240,22179,22154,22305,22247,22239,22224,22269,22211,22220,22148,22331,22291,22261,22184,22284,22256,22251,22317,22186,
X19,22139,22189,22255,22258,22220,22222,22242,22231,22210,22202,22221,22218,22327,22305,22213,22256,22267,22222,22097,22243,22159,22217,22247,22206,22129,22212,22094,22240,22207,22242,22215,22225,22155,22133,22290,22222,22214,22226,22232,22175,22209,22121,22311,22259,22229,22164,22254,22237,22221,22286,22161,
X20,22141,22179,22227,22248,22219,22206,22231,22222,22194,22178,22207,22206,22307,22278,22207,22247,22264,22201,22086,22237,22151,22191,22222,22192,22101,22205,22081,22224,22198,22228,22219,22223,22137,22111,22261,22208,22197,22212,22231,22167,22178,22108,22300,22250,22223,22146,22259,22216,22204,22271,22147,
X21,22158,22203,22231,22260,22225,22221,22235,22226,22202,22196,22234,22219,22326,22312,22217,22263,22277,22216,22097,22241,22143,22204,22253,22211,22123,22213,22100,22244,22211,22249,22219,22213,22151,22122,22250,22226,22206,22224,22258,22183,22200,22107,22300,22286,22247,22156,22274,22249,22221,22291,22173,
X22,22147,22183,22238,22259,22213,22189,22221,22212,22193,22192,22224,22205,22319,22300,22209,22251,22275,22185,22088,22243,22130,22199,22229,22180,22116,22196,22081,22222,22202,22239,22202,22214,22137,22113,22248,22226,22184,22215,22213,22169,22199,22121,22290,22264,22230,22157,22285,22243,22210,22268,22151,
X23,22136,22167,22235,22245,22202,22198,22207,22208,22195,22175,22204,22197,22299,22290,22196,22243,22257,22176,22068,22222,22116,22168,22238,22169,22109,22187,22080,22235,22204,22233,22192,22200,22129,22102,22245,22205,22171,22192,22222,22169,22197,22100,22260,22226,22219,22141,22257,22218,22188,22255,22136,
X24,22134,22158,22211,22239,22183,22179,22206,22182,22181,22177,22199,22178,22296,22280,22201,22236,22252,22171,22073,22218,22104,22147,22219,22165,22088,22183,22067,22205,22190,22225,22198,22195,22121,22102,22229,22193,22169,22190,22212,22154,22181,22091,22256,22215,22207,22143,22245,22209,22180,22239,22149,
X25,22144,22158,22208,22241,22199,22195,22217,22186,22184,22187,22183,22174,22289,22277,22192,22247,22264,22183,22067,22234,22098,22157,22216,22180,22110,22195,22068,22214,22188,22222,22179,22205,22124,22111,22238,22193,22176,22182,22216,22168,22189,22118,22271,22247,22216,22156,22253,22220,22206,22249,22149,
X26,22146,22184,22212,22245,22206,22225,22243,22181,22158,22168,22204,22196,22290,22279,22200,22252,22275,22207,22097,22244,22131,22179,22232,22188,22120,22181,22084,22220,22187,22218,22194,22205,22133,22113,22241,22202,22178,22187,22221,22162,22176,22106,22292,22246,22227,22155,22258,22230,22205,22254,22140,
X27,22171,22193,22235,22245,22207,22223,22251,22186,22160,22197,22213,22199,22300,22285,22214,22263,22281,22219,22089,22245,22145,22201,22249,22191,22128,22210,22096,22239,22192,22233,22207,22212,22126,22132,22249,22202,22180,22228,22226,22166,22201,22131,22296,22256,22236,22158,22277,22222,22218,22269,22164,
X28,22183,22200,22244,22260,22219,22220,22260,22225,22192,22202,22212,22197,22295,22309,22221,22267,22289,22221,22105,22253,22145,22208,22265,22213,22135,22230,22096,22232,22223,22249,22210,22219,22153,22137,22269,22215,22216,22227,22258,22185,22200,22139,22309,22252,22239,22165,22284,22238,22227,22283,22168,
X29,22142,22189,22226,22240,22185,22197,22227,22208,22180,22171,22196,22189,22272,22279,22177,22252,22268,22184,22067,22233,22135,22200,22241,22183,22115,22193,22067,22212,22179,22216,22188,22201,22139,22108,22251,22204,22193,22204,22241,22173,22176,22118,22269,22236,22221,22154,22252,22212,22187,22246,22149,
X30,22159,22194,22211,22220,22203,22211,22241,22209,22173,22191,22209,22190,22292,22287,22203,22258,22287,22197,22075,22235,22138,22222,22261,22196,22132,22207,22083,22216,22208,22227,22197,22208,22141,22140,22272,22215,22204,22223,22236,22180,22173,22100,22264,22235,22224,22141,22267,22231,22211,22257,22154,
X31,22160,22197,22225,22239,22209,22223,22238,22215,22175,22176,22205,22182,22303,22297,22223,22279,22296,22216,22086,22235,22127,22219,22273,22199,22121,22207,22088,22230,22206,22241,22199,22204,22137,22128,22264,22199,22207,22221,22230,22166,22181,22121,22276,22219,22231,22143,22263,22218,22203,22262,22150,
X32,22165,22192,22242,22238,22214,22237,22262,22229,22195,22208,22226,22191,22319,22307,22233,22277,22289,22223,22099,22243,22150,22225,22255,22203,22130,22219,22082,22236,22209,22237,22203,22210,22126,22121,22278,22212,22216,22228,22242,22173,22188,22130,22287,22257,22238,22161,22265,22229,22203,22272,22160,
X33,22182,22217,22243,22241,22201,22239,22264,22211,22205,22232,22239,22215,22321,22302,22249,22285,22293,22233,22097,22261,22168,22224,22282,22218,22137,22225,22088,22253,22217,22248,22195,22217,22129,22142,22283,22223,22208,22237,22239,22183,22200,22147,22303,22245,22226,22144,22264,22231,22209,22290,22165,
X34,22184,22205,22230,22246,22191,22214,22239,22199,22192,22222,22219,22208,22299,22289,22207,22256,22275,22214,22070,22221,22126,22208,22241,22202,22109,22207,22083,22229,22192,22218,22181,22185,22101,22091,22254,22201,22193,22217,22225,22153,22191,22116,22274,22213,22215,22146,22256,22215,22191,22261,22146,
X35,22184,22208,22238,22237,22220,22217,22246,22199,22188,22225,22229,22205,22302,22273,22210,22249,22270,22193,22090,22213,22128,22196,22238,22190,22112,22206,22075,22219,22188,22230,22174,22198,22115,22094,22266,22195,22177,22206,22209,22154,22182,22124,22272,22239,22213,22148,22247,22222,22193,22253,22127,
X36,22210,22243,22266,22267,22265,22255,22267,22248,22206,22254,22259,22223,22306,22298,22245,22283,22317,22219,22107,22239,22141,22228,22262,22210,22116,22218,22102,22226,22197,22244,22208,22207,22143,22127,22284,22222,22222,22231,22239,22178,22215,22142,22301,22243,22233,22161,22268,22255,22209,22277,22168,
X37,22237,22266,22307,22298,22272,22288,22290,22267,22256,22283,22287,22268,22351,22332,22275,22306,22329,22271,22137,22279,22150,22231,22296,22222,22147,22247,22116,22259,22234,22262,22229,22237,22172,22150,22323,22264,22242,22269,22281,22210,22246,22183,22341,22279,22259,22193,22307,22269,22243,22300,22199,

Sensor data,All Nodes,Exclude 4 Borders(Center)
Maximum,22351,22340
Median,22189,22192
Average,22183,22185
Minimum,21980,21980
Maximum - Minimum,371,360
Checksum1,55D1,Checksum2,56A8


// Half CT value. CT=11 (50.00%)
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X0,21187,21342,21420,21436,21384,21468,21474,21470,21484,21421,21500,21472,21507,21602,21469,21470,21503,21478,21394,21527,21469,21468,21547,21541,21473,21626,21506,21622,21584,21623,21636,21618,21610,21520,21756,21619,21703,21709,21756,21707,21689,21624,21814,21757,21779,21693,21791,21787,21738,21795,21618,
X1,21165,21340,21414,21425,21375,21454,21476,21480,21478,21419,21502,21485,21513,21610,21468,21470,21521,21487,21397,21523,21477,21473,21569,21534,21472,21628,21515,21617,21597,21642,21652,21617,21614,21514,21766,21609,21703,21709,21766,21712,21674,21639,21822,21760,21784,21690,21784,21781,21744,21806,21654,
X2,21168,21359,21434,21453,21386,21477,21498,21490,21487,21418,21516,21493,21520,21623,21494,21488,21549,21500,21395,21542,21491,21497,21583,21548,21482,21645,21534,21647,21618,21665,21657,21633,21637,21570,21783,21637,21717,21712,21784,21734,21691,21642,21833,21768,21798,21705,21827,21803,21760,21813,21668,
X3,21164,21355,21434,21451,21405,21486,21498,21489,21497,21439,21532,21497,21527,21630,21505,21504,21562,21523,21411,21555,21491,21509,21590,21548,21484,21646,21530,21659,21632,21666,21672,21646,21641,21563,21792,21644,21738,21722,21790,21736,21710,21636,21828,21774,21788,21683,21813,21806,21753,21791,21662,
X4,21181,21368,21446,21469,21416,21499,21516,21510,21508,21443,21539,21506,21538,21643,21525,21529,21569,21529,21427,21574,21529,21535,21599,21563,21513,21661,21545,21675,21633,21673,21689,21655,21649,21592,21807,21651,21737,21740,21803,21741,21736,21661,21850,21792,21804,21710,21831,21808,21782,21822,21686,
X5,21166,21357,21436,21459,21406,21495,21496,21508,21501,21442,21525,21494,21532,21636,21521,21516,21562,21538,21427,21571,21511,21529,21600,21570,21508,21643,21544,21659,21625,21664,21683,21656,21646,21569,21803,21649,21728,21721,21771,21713,21698,21627,21844,21776,21785,21699,21817,21816,21780,21828,21684,
X6,21166,21339,21428,21453,21399,21490,21493,21500,21500,21447,21534,21495,21525,21626,21507,21517,21557,21520,21414,21565,21493,21513,21587,21564,21497,21644,21542,21659,21622,21643,21670,21638,21648,21543,21784,21625,21714,21710,21768,21721,21691,21624,21826,21772,21775,21706,21820,21819,21783,21823,21695,
X7,21172,21358,21440,21452,21406,21487,21491,21497,21503,21445,21539,21499,21536,21623,21506,21518,21566,21525,21418,21561,21503,21514,21581,21552,21484,21632,21525,21664,21617,21652,21670,21663,21649,21564,21788,21619,21707,21717,21757,21710,21684,21618,21834,21793,21806,21716,21834,21837,21780,21837,21711,
X8,21154,21346,21427,21438,21381,21478,21496,21501,21496,21435,21529,21490,21542,21653,21517,21520,21554,21509,21391,21547,21505,21516,21581,21558,21489,21635,21528,21662,21621,21655,21652,21638,21637,21547,21768,21628,21711,21708,21766,21701,21671,21612,21821,21763,21790,21701,21823,21837,21786,21828,21714,
X9,21180,21362,21457,21468,21401,21491,21506,21516,21538,21469,21563,21514,21576,21668,21542,21540,21582,21536,21422,21584,21529,21537,21606,21584,21512,21657,21546,21676,21629,21678,21683,21664,21662,21581,21805,21661,21747,21714,21778,21727,21707,21636,21853,21793,21816,21751,21853,21873,21807,21862,21725,
X10,21190,21395,21461,21463,21385,21485,21504,21517,21530,21475,21580,21540,21596,21684,21561,21555,21596,21558,21447,21592,21540,21544,21611,21589,21530,21664,21560,21682,21653,21673,21691,21665,21661,21581,21814,21664,21756,21737,21788,21743,21726,21654,21881,21807,21825,21741,21855,21870,21830,21874,21723,
X11,21169,21383,21454,21462,21409,21489,21499,21506,21511,21465,21566,21531,21584,21684,21558,21560,21581,21546,21441,21604,21536,21533,21605,21608,21525,21662,21563,21687,21649,21672,21691,21681,21668,21580,21807,21656,21753,21751,21802,21750,21734,21669,21884,21820,21835,21752,21862,21855,21822,21875,21744,
X12,21184,21402,21465,21474,21426,21516,21522,21514,21526,21483,21587,21557,21612,21706,21565,21558,21602,21558,21466,21610,21537,21538,21623,21620,21542,21680,21572,21693,21653,21685,21701,21689,21681,21592,21820,21681,21774,21771,21831,21777,21766,21684,21908,21832,21868,21777,21878,21889,21855,21905,21777,
X13,21200,21404,21483,21474,21426,21507,21529,21526,21533,21500,21599,21557,21606,21711,21577,21578,21615,21568,21466,21618,21548,21546,21641,21620,21553,21689,21580,21699,21675,21703,21706,21700,21696,21613,21832,21678,21771,21789,21850,21790,21775,21698,21908,21833,21865,21787,21891,21899,21852,21907,21773,
X14,21193,21387,21469,21470,21421,21513,21523,21524,21541,21487,21582,21545,21599,21694,21565,21566,21603,21559,21468,21607,21539,21543,21623,21598,21545,21684,21578,21703,21670,21695,21701,21691,21695,21611,21829,21679,21780,21770,21840,21784,21771,21685,21900,21838,21849,21777,21885,21891,21841,21904,21761,
X15,21202,21408,21487,21496,21437,21523,21536,21541,21549,21504,21594,21548,21595,21687,21558,21559,21611,21577,21475,21620,21561,21568,21624,21616,21557,21694,21580,21701,21665,21693,21702,21693,21694,21611,21839,21688,21784,21789,21843,21789,21766,21683,21909,21849,21874,21786,21897,21909,21862,21920,21771,
X16,21228,21433,21520,21532,21480,21568,21560,21563,21559,21519,21624,21580,21629,21707,21588,21594,21634,21601,21507,21647,21598,21602,21666,21652,21586,21725,21605,21719,21709,21716,21733,21712,21719,21621,21854,21709,21823,21813,21869,21822,21808,21716,21937,21877,21887,21803,21925,21924,21889,21937,21801,
X17,21227,21431,21529,21535,21496,21567,21578,21569,21578,21519,21622,21583,21629,21709,21586,21588,21640,21609,21502,21644,21594,21600,21684,21654,21573,21725,21599,21720,21701,21716,21728,21717,21720,21622,21846,21699,21814,21809,21862,21821,21801,21708,21940,21870,21879,21811,21918,21921,21886,21940,21794,
X18,21236,21449,21536,21557,21509,21595,21604,21593,21603,21537,21632,21609,21647,21735,21600,21608,21662,21625,21524,21671,21625,21623,21687,21679,21590,21736,21615,21739,21716,21738,21768,21740,21740,21641,21871,21721,21823,21800,21876,21834,21806,21730,21949,21882,21901,21815,21915,21925,21900,21962,21818,
X19,21227,21445,21544,21555,21504,21586,21585,21594,21600,21533,21623,21602,21643,21729,21593,21605,21650,21628,21517,21668,21616,21615,21679,21662,21584,21732,21608,21727,21705,21736,21747,21737,21728,21633,21866,21708,21811,21810,21853,21810,21804,21715,21944,21864,21882,21805,21899,21917,21883,21944,21804,
X20,21234,21440,21528,21552,21509,21578,21579,21592,21591,21518,21614,21593,21633,21710,21592,21601,21654,21616,21512,21666,21616,21598,21665,21655,21566,21729,21601,21719,21701,21730,21755,21740,21718,21616,21844,21700,21800,21801,21857,21808,21782,21704,21934,21859,21879,21795,21906,21903,21870,21934,21796,
X21,21248,21462,21533,21561,21514,21592,21584,21596,21600,21531,21639,21605,21649,21739,21601,21613,21667,21628,21521,21673,21610,21609,21690,21671,21583,21739,21615,21736,21713,21746,21752,21732,21727,21627,21837,21717,21808,21815,21880,21822,21801,21705,21935,21889,21901,21801,21917,21930,21886,21950,21819,
X22,21221,21430,21522,21547,21491,21550,21560,21569,21578,21513,21616,21580,21628,21715,21578,21589,21647,21590,21501,21659,21585,21591,21657,21632,21566,21709,21586,21703,21689,21727,21725,21720,21705,21607,21821,21702,21780,21795,21831,21799,21789,21706,21918,21860,21875,21791,21917,21913,21865,21919,21787,
X23,21222,21426,21527,21544,21492,21567,21557,21574,21587,21512,21610,21584,21622,21712,21577,21592,21642,21590,21494,21650,21583,21576,21673,21630,21567,21710,21596,21724,21703,21730,21725,21716,21705,21607,21830,21694,21774,21782,21843,21806,21795,21697,21898,21833,21874,21784,21898,21900,21852,21917,21782,
X24,21218,21417,21509,21536,21476,21551,21555,21555,21577,21508,21603,21567,21616,21706,21578,21587,21638,21586,21497,21644,21570,21556,21654,21628,21552,21704,21584,21697,21688,21721,21731,21709,21698,21606,21813,21683,21773,21781,21838,21794,21785,21687,21895,21825,21863,21788,21890,21891,21846,21902,21793,
X25,21226,21419,21505,21538,21485,21564,21564,21558,21577,21519,21589,21563,21609,21702,21572,21592,21647,21596,21492,21659,21564,21563,21652,21639,21569,21716,21584,21705,21688,21719,21713,21717,21700,21614,21821,21685,21778,21774,21841,21806,21789,21711,21910,21854,21871,21800,21899,21904,21868,21908,21791,
X26,21227,21435,21507,21539,21490,21584,21580,21549,21555,21501,21604,21579,21610,21701,21576,21594,21654,21613,21510,21664,21590,21580,21664,21642,21573,21702,21595,21708,21684,21714,21724,21716,21707,21613,21822,21692,21778,21775,21840,21797,21775,21699,21924,21850,21879,21797,21900,21911,21861,21910,21778,
X27,21244,21443,21524,21539,21491,21582,21584,21553,21556,21520,21613,21579,21614,21707,21584,21601,21657,21620,21502,21663,21599,21596,21676,21646,21579,21725,21604,21722,21687,21725,21734,21719,21699,21628,21829,21688,21781,21811,21847,21803,21798,21720,21927,21860,21887,21798,21916,21900,21871,21920,21798,
X28,21258,21451,21532,21552,21505,21584,21596,21587,21583,21529,21612,21580,21614,21728,21594,21610,21666,21627,21519,21670,21602,21606,21691,21666,21588,21745,21606,21721,21715,21741,21740,21730,21727,21635,21849,21704,21812,21813,21879,21822,21798,21731,21939,21856,21891,21806,21923,21915,21881,21933,21799,
