MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:18:18
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141818.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 25.7
Memory(MB) =, 4277
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22351 min:21976 range:375 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.6(CX15-16) 0.4(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X10,22128,22165,22187,22176,22104,22133,22177,22169,22153,22164,22202,22176,22306,22286,22209,22230,22233,22170,22046,22186,22101,22167,22197,22147,22095,22162,22066,22216,22175,22195,22177,22169,22105,22098,22253,22194,22175,22167,22181,22124,22142,22074,22261,22218,22186,22116,22231,22205,22188,22234,22104,
X11,22101,22144,22173,22170,22130,22132,22164,22150,22127,22147,22180,22161,22286,22279,22201,22231,22209,22149,22031,22192,22086,22145,22181,22163,22080,22150,22061,22213,22163,22187,22168,22180,22103,22089,22237,22177,22165,22174,22188,22122,22143,22084,22256,22226,22187,22116,22228,22179,22169,22226,22114,
X12,22097,22150,22169,22167,22134,22149,22175,22148,22132,22153,22192,22178,22303,22290,22195,22213,22219,22152,22048,22186,22074,22136,22190,22164,22088,22162,22062,22209,22157,22191,22171,22179,22109,22095,22244,22196,22177,22188,22212,22142,22171,22093,22279,22229,22218,22137,22237,22212,22196,22252,22140,
X13,22107,22141,22184,22158,22127,22128,22177,22153,22131,22167,22198,22169,22286,22291,22199,22225,22229,22156,22040,22187,22081,22140,22202,22159,22094,22168,22065,22207,22176,22207,22171,22186,22118,22114,22252,22189,22168,22202,22231,22153,22174,22102,22271,22228,22208,22145,22248,22214,22188,22246,22131,
X14,22106,22128,22174,22162,22127,22143,22176,22156,22148,22155,22180,22159,22283,22273,22190,22216,22216,22147,22048,22182,22075,22139,22187,22139,22088,22164,22065,22217,22173,22202,22170,22176,22123,22113,22248,22193,22182,22184,22221,22149,22174,22092,22268,22235,22196,22136,22242,22209,22182,22246,22119,
X15,22117,22152,22191,22190,22141,22154,22191,22172,22153,22175,22195,22160,22276,22265,22179,22209,22224,22166,22055,22193,22098,22170,22184,22158,22102,22171,22067,22211,22165,22197,22168,22181,22119,22111,22263,22204,22187,22201,22223,22153,22167,22088,22274,22246,22221,22143,22256,22228,22201,22262,22129,
X16,22146,22182,22229,22236,22196,22207,22217,22201,22165,22191,22228,22198,22317,22286,22216,22251,22251,22198,22091,22223,22141,22209,22234,22199,22133,22208,22094,22236,22219,22225,22204,22203,22148,22126,22281,22229,22233,22231,22252,22191,22218,22128,22307,22276,22236,22164,22288,22249,22230,22283,22163,
X17,22147,22177,22241,22238,22214,22207,22240,22206,22185,22188,22225,22204,22313,22285,22212,22240,22258,22207,22085,22216,22137,22204,22257,22198,22120,22205,22087,22234,22208,22226,22197,22206,22149,22124,22272,22215,22219,22227,22245,22190,22205,22117,22313,22270,22230,22173,22279,22243,22228,22284,22154,
X18,22152,22193,22244,22260,22224,22233,22263,22230,22211,22209,22229,22228,22332,22312,22222,22261,22279,22218,22106,22246,22168,22226,22256,22226,22134,22214,22100,22251,22222,22246,22236,22228,22169,22143,22293,22237,22227,22214,22259,22202,22209,22137,22320,22281,22250,22173,22273,22243,22240,22306,22177,
X19,22134,22184,22251,22252,22214,22217,22239,22229,22205,22197,22216,22215,22323,22301,22210,22250,22263,22219,22094,22241,22156,22216,22244,22203,22124,22207,22089,22235,22204,22238,22209,22223,22151,22129,22287,22219,22209,22224,22228,22172,22204,22115,22308,22254,22225,22161,22252,22231,22219,22281,22161,
X20,22146,22186,22234,22255,22227,22213,22237,22232,22199,22185,22210,22211,22317,22283,22215,22252,22273,22210,22092,22246,22160,22201,22233,22199,22110,22210,22089,22232,22205,22237,22226,22232,22146,22118,22269,22215,22204,22221,22239,22177,22188,22115,22308,22259,22229,22156,22266,22225,22214,22279,22159,
X21,22154,22200,22231,22258,22224,22222,22231,22227,22201,22191,22232,22215,22324,22308,22214,22257,22276,22214,22096,22239,22144,22202,22249,22210,22118,22209,22096,22239,22207,22245,22215,22211,22148,22120,22248,22224,22203,22224,22255,22183,22197,22104,22297,22283,22244,22154,22271,22245,22219,22286,22172,
X22,22141,22178,22233,22257,22209,22184,22216,22207,22187,22184,22218,22199,22314,22295,22204,22243,22271,22181,22082,22236,22128,22194,22225,22177,22109,22191,22075,22215,22195,22236,22196,22209,22135,22108,22240,22220,22179,22213,22210,22165,22193,22114,22285,22258,22225,22151,22279,22237,22204,22263,22147,
X23,22138,22169,22236,22247,22205,22202,22208,22210,22198,22176,22207,22199,22301,22291,22198,22242,22260,22179,22071,22223,22121,22172,22237,22170,22109,22189,22080,22236,22205,22236,22192,22202,22131,22103,22247,22206,22173,22194,22224,22172,22198,22099,22260,22227,22220,22141,22256,22218,22190,22258,22139,
X24,22134,22158,22211,22238,22183,22181,22204,22184,22181,22174,22199,22177,22296,22280,22200,22235,22254,22176,22075,22218,22105,22150,22221,22166,22090,22183,22069,22204,22188,22228,22199,22195,22123,22103,22229,22194,22168,22193,22211,22156,22183,22092,22255,22214,22206,22143,22244,22206,22183,22240,22153,
X25,22141,22157,22206,22238,22195,22194,22214,22184,22182,22184,22180,22171,22287,22276,22190,22241,22261,22182,22066,22232,22098,22156,22213,22179,22106,22191,22066,22211,22184,22221,22176,22200,22120,22108,22234,22191,22172,22181,22212,22165,22185,22115,22268,22242,22212,22154,22250,22217,22204,22243,22149,
X26,22148,22184,22213,22245,22206,22227,22244,22184,22161,22168,22205,22199,22294,22282,22203,22253,22279,22212,22099,22248,22135,22184,22234,22189,22123,22183,22087,22222,22190,22222,22195,22208,22135,22118,22241,22206,22182,22191,22223,22165,22179,22108,22296,22249,22231,22157,22260,22235,22207,22256,22144,
X27,22171,22193,22237,22246,22207,22223,22250,22187,22160,22199,22214,22198,22301,22286,22214,22261,22282,22219,22090,22244,22145,22202,22249,22191,22129,22210,22096,22237,22192,22233,22206,22211,22127,22132,22246,22202,22181,22229,22226,22170,22202,22128,22295,22256,22236,22157,22276,22222,22214,22269,22162,
X28,22180,22198,22242,22258,22220,22218,22257,22225,22189,22197,22210,22195,22293,22308,22220,22264,22288,22222,22105,22251,22144,22207,22262,22208,22131,22228,22093,22232,22220,22248,22209,22216,22154,22136,22265,22211,22212,22227,22255,22185,22198,22138,22305,22250,22236,22165,22282,22235,22224,22281,22165,
X29,22145,22187,22228,22243,22185,22198,22226,22210,22180,22171,22196,22192,22273,22282,22176,22252,22271,22188,22072,22235,22138,22204,22244,22182,22115,22195,22068,22211,22181,22218,22189,22205,22142,22109,22251,22206,22193,22205,22242,22175,22177,22119,22269,22234,22221,22157,22254,22210,22187,22245,22149,
X30,22155,22190,22209,22217,22198,22208,22235,22207,22169,22184,22204,22186,22290,22285,22199,22254,22284,22195,22073,22233,22133,22221,22256,22192,22128,22202,22078,22210,22201,22221,22191,22204,22135,22130,22265,22211,22202,22220,22233,22176,22170,22096,22260,22230,22220,22136,22263,22224,22204,22251,22150,
X31,22154,22197,22223,22236,22207,22221,22234,22209,22171,22172,22201,22177,22299,22294,22220,22274,22292,22215,22083,22233,22123,22215,22268,22195,22118,22201,22082,22224,22202,22237,22193,22199,22133,22121,22258,22193,22202,22217,22227,22161,22177,22118,22269,22213,22228,22138,22258,22214,22197,22259,22145,
X32,22156,22184,22234,22229,22205,22230,22253,22222,22187,22198,22217,22183,22309,22299,22225,22268,22281,22216,22092,22236,22144,22220,22249,22197,22124,22210,22074,22230,22200,22231,22194,22204,22119,22114,22268,22204,22207,22220,22233,22166,22181,22119,22278,22247,22230,22155,22256,22220,22193,22265,22154,
X33,22175,22210,22235,22234,22193,22230,22255,22204,22197,22224,22230,22206,22316,22296,22241,22278,22284,22226,22092,22253,22161,22219,22273,22210,22128,22217,22080,22245,22207,22240,22186,22211,22121,22134,22277,22215,22200,22229,22230,22176,22195,22137,22293,22236,22217,22137,22256,22220,22200,22284,22157,
X34,22181,22203,22229,22243,22191,22215,22236,22198,22188,22220,22218,22207,22299,22289,22204,22253,22274,22215,22070,22222,22125,22208,22239,22200,22109,22206,22080,22227,22190,22217,22179,22183,22100,22091,22253,22200,22189,22218,22222,22151,22189,22112,22272,22211,22210,22144,22253,22212,22192,22260,22146,
X35,22182,22209,22237,22238,22218,22215,22244,22199,22186,22226,22228,22203,22301,22273,22208,22246,22265,22193,22089,22211,22126,22195,22237,22189,22109,22201,22070,22217,22186,22227,22171,22197,22114,22090,22262,22191,22178,22207,22209,22155,22181,22121,22272,22240,22214,22148,22243,22219,22190,22250,22129,
X36,22207,22244,22266,22267,22265,22257,22266,22248,22206,22257,22261,22224,22306,22298,22244,22281,22317,22218,22106,22240,22142,22228,22263,22209,22115,22219,22102,22226,22198,22243,22206,22209,22144,22125,22285,22223,22222,22232,22237,22179,22215,22142,22301,22244,22233,22164,22268,22253,22209,22277,22171,
X37,22236,22269,22307,22295,22273,22287,22292,22269,22255,22283,22287,22268,22351,22332,22271,22299,22321,22267,22132,22277,22150,22230,22297,22222,22145,22244,22113,22257,22230,22262,22225,22236,22169,22150,22322,22264,22242,22268,22278,22211,22245,22179,22342,22277,22257,22194,22306,22266,22242,22298,22200,

Sensor data,All Nodes,Exclude 4 Borders(Center)
Maximum,22351,22332
Median,22187,22191
Average,22181,22183
Minimum,21976,21976
Maximum - Minimum,375,356
Checksum1,56E1,Checksum2,545D


// Half CT value. CT=11 (50.00%)
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X0,21184,21340,21417,21434,21383,21465,21472,21470,21482,21418,21497,21470,21505,21600,21467,21469,21502,21478,21392,21525,21469,21467,21547,21539,21471,21626,21503,21620,21581,21622,21635,21616,21608,21520,21756,21617,21702,21708,21757,21707,21689,21622,21814,21755,21780,21692,21792,21787,21739,21794,21614,
X1,21164,21340,21413,21425,21375,21455,21475,21481,21478,21418,21501,21484,21512,21609,21466,21470,21521,21488,21397,21522,21478,21473,21570,21533,21471,21628,21516,21615,21597,21643,21650,21616,21613,21513,21765,21608,21703,21709,21766,21712,21673,21638,21821,21760,21783,21691,21785,21779,21742,21806,21652,
X2,21167,21360,21433,21452,21385,21477,21497,21491,21487,21418,21516,21490,21520,21623,21491,21487,21550,21499,21395,21542,21492,21497,21584,21547,21483,21646,21534,21646,21617,21665,21656,21633,21637,21569,21783,21636,21718,21713,21786,21736,21692,21643,21834,21767,21798,21707,21827,21802,21761,21814,21668,
X3,21166,21358,21436,21453,21408,21488,21501,21492,21500,21441,21535,21498,21529,21632,21507,21507,21566,21525,21414,21558,21495,21512,21596,21551,21485,21649,21533,21661,21634,21670,21673,21647,21643,21565,21794,21647,21740,21724,21792,21738,21714,21638,21830,21773,21790,21688,21816,21807,21755,21793,21663,
X4,21182,21368,21448,21470,21417,21500,21516,21514,21509,21443,21539,21506,21539,21643,21525,21530,21570,21530,21429,21575,21532,21537,21601,21564,21514,21664,21546,21675,21632,21674,21690,21656,21649,21593,21805,21651,21737,21740,21802,21742,21737,21662,21850,21790,21803,21711,21832,21808,21782,21822,21686,
X5,21165,21358,21437,21458,21406,21497,21497,21511,21501,21443,21527,21494,21534,21636,21522,21517,21562,21538,21428,21572,21513,21531,21603,21571,21509,21645,21546,21660,21626,21667,21684,21658,21648,21572,21805,21650,21732,21723,21772,21716,21701,21630,21845,21776,21786,21701,21820,21817,21783,21831,21684,
X6,21163,21339,21427,21451,21398,21490,21491,21501,21499,21444,21531,21493,21525,21624,21506,21515,21556,21520,21414,21564,21493,21512,21589,21563,21497,21645,21542,21657,21620,21643,21667,21637,21647,21542,21782,21624,21714,21709,21767,21722,21691,21622,21827,21771,21775,21707,21819,21819,21782,21823,21694,
X7,21167,21353,21434,21448,21400,21484,21486,21494,21498,21441,21533,21492,21530,21616,21499,21512,21559,21521,21412,21556,21498,21509,21577,21546,21477,21627,21520,21657,21611,21649,21664,21655,21644,21559,21781,21615,21701,21710,21753,21705,21679,21614,21827,21785,21800,21711,21828,21831,21774,21833,21705,
X8,21161,21355,21436,21446,21391,21488,21505,21510,21505,21442,21538,21499,21549,21661,21525,21527,21562,21517,21401,21556,21514,21524,21592,21567,21498,21646,21537,21670,21629,21665,21662,21646,21647,21557,21778,21638,21721,21717,21776,21712,21681,21621,21831,21772,21800,21710,21832,21846,21797,21838,21723,
X9,21177,21359,21454,21464,21399,21487,21502,21515,21534,21465,21559,21509,21572,21664,21537,21536,21577,21533,21420,21581,21526,21535,21603,21579,21510,21653,21544,21671,21625,21674,21679,21660,21659,21578,21802,21657,21745,21710,21776,21724,21703,21634,21850,21789,21814,21747,21850,21869,21804,21858,21721,
X10,21195,21403,21470,21471,21394,21494,21513,21527,21537,21484,21587,21547,21605,21691,21570,21564,21604,21567,21457,21600,21549,21553,21623,21595,21539,21674,21569,21690,21663,21683,21700,21674,21673,21590,21822,21672,21766,21746,21799,21755,21735,21663,21891,21816,21835,21753,21866,21879,21839,21883,21732,
X11,21170,21383,21456,21462,21409,21490,21498,21507,21510,21464,21565,21530,21585,21683,21558,21560,21581,21545,21442,21603,21535,21533,21606,21606,21524,21661,21563,21686,21649,21673,21690,21680,21670,21580,21808,21655,21755,21750,21803,21751,21734,21671,21887,21821,21836,21753,21862,21855,21822,21876,21745,
X12,21182,21402,21465,21474,21427,21516,21521,21516,21525,21482,21586,21556,21612,21703,21564,21558,21600,21558,21466,21608,21536,21538,21624,21618,21542,21680,21572,21692,21653,21686,21700,21687,21681,21592,21821,21679,21773,21770,21830,21778,21767,21684,21908,21830,21868,21778,21878,21889,21855,21906,21777,
X13,21197,21403,21483,21474,21425,21506,21527,21526,21533,21499,21597,21556,21606,21709,21575,21575,21615,21568,21466,21617,21546,21547,21641,21619,21551,21690,21578,21697,21675,21704,21705,21699,21696,21615,21831,21678,21772,21787,21851,21791,21776,21700,21909,21834,21865,21789,21891,21899,21853,21906,21775,
X14,21191,21387,21470,21471,21421,21512,21522,21523,21541,21486,21579,21544,21597,21692,21563,21564,21601,21559,21469,21608,21538,21542,21623,21597,21544,21684,21578,21702,21668,21695,21701,21690,21695,21612,21827,21678,21780,21768,21839,21785,21770,21685,21903,21839,21848,21779,21885,21892,21843,21905,21763,
X15,21199,21405,21485,21492,21434,21522,21535,21537,21547,21500,21589,21544,21590,21685,21554,21557,21609,21571,21473,21617,21557,21564,21623,21613,21557,21691,21580,21696,21662,21690,21701,21692,21692,21610,21840,21687,21785,21785,21840,21787,21766,21682,21908,21848,21873,21786,21895,21906,21862,21920,21770,
X16,21227,21435,21520,21531,21481,21569,21558,21565,21558,21518,21624,21580,21631,21707,21587,21594,21635,21602,21508,21648,21596,21604,21667,21653,21586,21726,21603,21720,21706,21717,21732,21711,21719,21622,21854,21711,21824,21812,21870,21823,21810,21718,21936,21877,21887,21802,21925,21926,21889,21938,21801,
X17,21227,21431,21529,21534,21494,21569,21578,21571,21577,21516,21621,21583,21626,21708,21587,21588,21641,21609,21504,21644,21595,21600,21685,21654,21573,21724,21599,21720,21699,21717,21726,21714,21721,21623,21847,21701,21813,21808,21863,21822,21800,21708,21942,21869,21881,21812,21917,21922,21887,21941,21796,
X18,21237,21449,21537,21556,21510,21594,21604,21594,21602,21538,21631,21609,21649,21735,21601,21607,21662,21626,21525,21670,21625,21625,21688,21679,21590,21737,21616,21738,21715,21741,21768,21743,21743,21644,21869,21721,21825,21800,21879,21833,21806,21732,21951,21883,21902,21815,21916,21926,21901,21962,21819,
X19,21226,21445,21545,21555,21505,21584,21584,21594,21600,21530,21622,21599,21643,21727,21591,21605,21651,21629,21519,21669,21617,21617,21681,21662,21586,21733,21608,21726,21703,21738,21748,21739,21730,21633,21866,21710,21811,21811,21853,21810,21804,21717,21943,21863,21881,21807,21896,21916,21882,21943,21806,
X20,21226,21435,21523,21547,21503,21572,21574,21585,21584,21511,21608,21589,21627,21704,21586,21595,21648,21610,21508,21661,21612,21594,21659,21648,21561,21725,21596,21713,21694,21727,21751,21735,21713,21614,21841,21695,21798,21797,21852,21805,21782,21701,21933,21855,21875,21791,21901,21899,21867,21932,21794,
X21,21245,21458,21530,21559,21513,21590,21583,21596,21596,21528,21639,21605,21647,21736,21598,21610,21665,21630,21521,21670,21609,21607,21689,21669,21581,21736,21615,21734,21709,21747,21752,21730,21727,21627,21834,21712,21807,21812,21880,21821,21801,21705,21936,21888,21902,21801,21916,21929,21884,21949,21819,
X22,21223,21432,21522,21550,21493,21553,21562,21572,21579,21515,21619,21583,21628,21717,21581,21593,21650,21594,21504,21661,21588,21595,21661,21636,21568,21712,21590,21706,21691,21731,21728,21723,21709,21610,21823,21705,21783,21797,21834,21802,21794,21708,21922,21863,21880,21795,21921,21917,21867,21925,21790,
X23,21220,21426,21527,21543,21491,21564,21556,21574,21586,21510,21609,21583,21620,21712,21576,21590,21640,21589,21492,21648,21580,21575,21670,21628,21566,21710,21596,21723,21699,21729,21725,21715,21704,21604,21828,21691,21774,21780,21844,21807,21793,21695,21895,21833,21874,21783,21897,21898,21849,21914,21781,
X24,21219,21420,21509,21537,21476,21551,21556,21554,21575,21509,21604,21567,21617,21705,21579,21586,21638,21589,21495,21644,21569,21556,21656,21627,21552,21705,21585,21696,21686,21723,21733,21710,21698,21606,21814,21683,21773,21778,21837,21793,21783,21686,21894,21822,21861,21788,21889,21889,21845,21901,21794,
X25,21227,21418,21506,21538,21485,21562,21562,21557,21575,21516,21587,21563,21611,21701,21571,21592,21646,21595,21491,21657,21565,21563,21652,21639,21567,21715,21586,21703,21686,21718,21712,21717,21700,21611,21819,21684,21778,21772,21840,21803,21789,21713,21909,21852,21873,21800,21896,21901,21867,21909,21791,
X26,21227,21435,21506,21539,21489,21581,21578,21550,21553,21498,21602,21577,21609,21701,21576,21593,21650,21612,21511,21664,21591,21580,21664,21641,21572,21702,21596,21706,21685,21712,21726,21717,21706,21614,21820,21691,21778,21773,21841,21799,21775,21700,21925,21851,21881,21798,21899,21909,21864,21910,21779,
X27,21242,21439,21522,21536,21488,21578,21583,21551,21552,21519,21609,21578,21612,21704,21585,21599,21654,21620,21504,21661,21600,21596,21676,21644,21578,21727,21604,21720,21686,21723,21733,21718,21701,21625,21826,21687,21781,21808,21847,21803,21798,21719,21926,21858,21887,21797,21913,21899,21871,21922,21798,
X28,21255,21449,21532,21552,21502,21579,21594,21584,21581,21523,21608,21576,21612,21725,21592,21607,21663,21625,21518,21669,21601,21603,21690,21662,21585,21746,21604,21718,21712,21740,21739,21729,21726,21634,21845,21700,21811,21812,21875,21819,21795,21732,21938,21856,21890,21804,21921,21910,21881,21930,21799,
